frame.time_delta,ip.proto,ip.len,tcp.srcport,tcp.dstport,tcp.flags.syn,icmp.type,icmp.seq,icmp.code
"0.000000000","1","84",,,,"8","1","0"
"0.000807785","1","84",,,,"0","1","0"
"1.003065824","1","84",,,,"8","2","0"
"0.003505926","1","84",,,,"0","2","0"
"0.998944461","1","84",,,,"8","3","0"
"0.001552472","1","84",,,,"0","3","0"
"1.000062090","1","84",,,,"8","4","0"
"0.000896502","1","84",,,,"0","4","0"
"1.002301956","1","84",,,,"8","5","0"
"0.015702194","1","84",,,,"0","5","0"
"0.970242944",,,,,,,,
"0.000049304",,,,,,,,
"0.016133190","1","84",,,,"8","6","0"
"0.001804970","1","84",,,,"0","6","0"
"0.050140049",,,,,,,,
"0.000845559",,,,,,,,
"0.950229322","1","84",,,,"8","7","0"
"0.009154835","1","84",,,,"0","7","0"
"0.992010977","1","84",,,,"8","8","0"
"0.001103518","1","84",,,,"0","8","0"
"1.001085312","1","84",,,,"8","9","0"
"0.002011916","1","84",,,,"0","9","0"
"1.001291609","1","84",,,,"8","10","0"
"0.002123294","1","84",,,,"0","10","0"
"0.999992896","1","84",,,,"8","11","0"
"0.000701221","1","84",,,,"0","11","0"
"1.017332738","1","84",,,,"8","12","0"
"0.044913307","1","84",,,,"0","12","0"
"0.957379762","1","84",,,,"8","13","0"
"0.080394746","1","84",,,,"0","13","0"
"0.921046480","1","84",,,,"8","14","0"
"0.000516602","1","84",,,,"0","14","0"
"1.057685353","1","84",,,,"8","15","0"
"0.036731371","1","84",,,,"0","15","0"
"12.304773972","6","60","34996","21","True",,,
"0.001089612","6","60","21","34996","True",,,
"0.000170364","6","52","34996","21","False",,,
"0.080295053","6","72","21","34996","False",,,
"0.000176777","6","52","34996","21","False",,,
"17.121856107","6","67","34996","21","False",,,
"0.001109234","6","52","21","34996","False",,,
"0.000523815","6","86","21","34996","False",,,
"0.000514690","6","52","34996","21","False",,,
"4.996157603","6","67","34996","21","False",,,
"0.040058960","6","52","21","34996","False",,,
"0.017599643","6","75","21","34996","False",,,
"0.000107064","6","52","34996","21","False",,,
"0.000571463","6","58","34996","21","False",,,
"0.000927043","6","52","21","34996","False",,,
"0.000081208","6","71","21","34996","False",,,
"0.001174710","6","58","34996","21","False",,,
"0.001609368","6","67","21","34996","False",,,
"0.000001354","6","59","21","34996","False",,,
"0.131877583","6","52","34996","21","False",,,
"0.191285540","6","117","21","34996","False",,,
"0.000123972","6","52","34996","21","False",,,
"8.409090551","6","58","34996","21","False",,,
"0.001172696","6","66","21","34996","False",,,
"0.000001069","6","52","21","34996","False",,,
"0.000072370","6","52","34996","21","False",,,
"0.000428024","6","52","34996","21","False",,,
"0.000731261","6","52","21","34996","False",,,
"12.707511553","17","229",,,,,,
